year,uf,monthsAvailable,monthsExpected,coverageRatio,missingMonths
2024,AC,12,12,1.0,
2024,AL,12,12,1.0,
2024,AM,11,12,0.9167,2
2024,AP,12,12,1.0,
2024,BA,12,12,1.0,
2024,CE,12,12,1.0,
2024,DF,12,12,1.0,
2024,ES,12,12,1.0,
2024,GO,12,12,1.0,
2024,MA,12,12,1.0,
2024,MG,12,12,1.0,
2024,MS,12,12,1.0,
2024,MT,12,12,1.0,
2024,PA,12,12,1.0,
2024,PB,12,12,1.0,
2024,PE,12,12,1.0,
2024,PI,11,12,0.9167,2
2024,PR,12,12,1.0,
2024,RJ,12,12,1.0,
2024,RN,12,12,1.0,
2024,RO,12,12,1.0,
2024,RR,12,12,1.0,
2024,RS,12,12,1.0,
2024,SC,12,12,1.0,
2024,SE,12,12,1.0,
2024,SP,12,12,1.0,
2024,TO,12,12,1.0,
