uf,diseaseCode,diseaseName,careRegime,admissions,deaths,avgLengthOfStay,approvedValue,monthsAvailable,coverageRatio,admissionsAnnualized
AC,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),3,0,3.0,1010.53,12,1.0,3.0
AC,G122,Esclerose Lateral Amiotrofica,Internacao clinica,5,0,7.2,2144.7,12,1.0,5.0
AC,G35,Esclerose Multipla,Tratamento (predominio de dia unico),2,0,4.0,527.71,12,1.0,2.0
AC,G700,Miastenia Gravis,Internacao clinica,2,0,5.5,538.37,12,1.0,2.0
AL,E851,Polineuropatia Amiloidotica Familiar,Tratamento (predominio de dia unico),5,0,0.0,697.1,12,1.0,5.0
AL,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),7,0,9.7,2448.97,12,1.0,7.0
AL,G122,Esclerose Lateral Amiotrofica,Internacao clinica,6,1,32.7,37403.53,12,1.0,6.0
AL,G35,Esclerose Multipla,Tratamento (predominio de dia unico),16,1,14.8,36048.47,12,1.0,16.0
AL,G700,Miastenia Gravis,Internacao clinica,11,5,14.5,36251.17,12,1.0,11.0
AM,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),27,0,18.6,279515.72,11,0.9167,29.5
AM,G122,Esclerose Lateral Amiotrofica,Internacao clinica,19,1,22.4,51998.63,11,0.9167,20.7
AM,G35,Esclerose Multipla,Tratamento (predominio de dia unico),16,2,6.8,11862.81,11,0.9167,17.5
AM,G700,Miastenia Gravis,Internacao clinica,33,0,4.5,12860.8,11,0.9167,36.0
AP,G122,Esclerose Lateral Amiotrofica,Internacao clinica,1,0,19.0,445.73,12,1.0,1.0
AP,G35,Esclerose Multipla,Tratamento (predominio de dia unico),4,0,5.3,1357.15,12,1.0,4.0
AP,G700,Miastenia Gravis,Internacao clinica,11,0,6.2,6784.69,12,1.0,11.0
BA,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),13,0,8.2,34520.42,12,1.0,13.0
BA,G122,Esclerose Lateral Amiotrofica,Internacao clinica,50,4,8.5,64939.59,12,1.0,50.0
BA,G35,Esclerose Multipla,Tratamento (predominio de dia unico),119,3,8.3,103492.82,12,1.0,119.0
BA,G700,Miastenia Gravis,Internacao clinica,56,4,13.6,95484.21,12,1.0,56.0
CE,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),9,0,18.3,66476.37,12,1.0,9.0
CE,G122,Esclerose Lateral Amiotrofica,Internacao clinica,37,4,18.9,85799.47,12,1.0,37.0
CE,G35,Esclerose Multipla,Tratamento (predominio de dia unico),60,2,10.1,72987.36,12,1.0,60.0
CE,G700,Miastenia Gravis,Internacao clinica,37,1,9.6,96959.51,12,1.0,37.0
DF,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),27,0,0.7,6987.86,12,1.0,27.0
DF,G122,Esclerose Lateral Amiotrofica,Internacao clinica,10,0,14.8,76955.91,12,1.0,10.0
DF,G35,Esclerose Multipla,Tratamento (predominio de dia unico),19,0,3.2,27836.37,12,1.0,19.0
DF,G700,Miastenia Gravis,Internacao clinica,21,0,7.9,41411.15,12,1.0,21.0
ES,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),7,0,34.6,10057.47,12,1.0,7.0
ES,G122,Esclerose Lateral Amiotrofica,Internacao clinica,31,3,16.5,67507.34,12,1.0,31.0
ES,G35,Esclerose Multipla,Tratamento (predominio de dia unico),36,0,9.2,70389.93,12,1.0,36.0
ES,G700,Miastenia Gravis,Internacao clinica,12,0,8.3,25792.8,12,1.0,12.0
GO,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),22,0,0.7,5058.47,12,1.0,22.0
GO,G122,Esclerose Lateral Amiotrofica,Internacao clinica,39,5,11.0,45449.34,12,1.0,39.0
GO,G35,Esclerose Multipla,Tratamento (predominio de dia unico),81,1,9.3,100625.1,12,1.0,81.0
GO,G700,Miastenia Gravis,Internacao clinica,57,1,8.5,82855.73,12,1.0,57.0
MA,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),7,0,35.1,129916.65,12,1.0,7.0
MA,G122,Esclerose Lateral Amiotrofica,Internacao clinica,46,2,25.0,210310.06,12,1.0,46.0
MA,G35,Esclerose Multipla,Tratamento (predominio de dia unico),28,1,7.9,15706.27,12,1.0,28.0
MA,G700,Miastenia Gravis,Internacao clinica,54,1,8.3,80606.12,12,1.0,54.0
MG,E851,Polineuropatia Amiloidotica Familiar,Tratamento (predominio de dia unico),3,0,1.3,2326.37,12,1.0,3.0
MG,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),14,0,1.8,13622.24,12,1.0,14.0
MG,G122,Esclerose Lateral Amiotrofica,Internacao clinica,248,13,15.8,530046.53,12,1.0,248.0
MG,G35,Esclerose Multipla,Tratamento (predominio de dia unico),2169,0,1.0,863781.03,12,1.0,2169.0
MG,G700,Miastenia Gravis,Internacao clinica,95,3,6.9,173003.66,12,1.0,95.0
MS,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),9,0,0.0,2537.21,12,1.0,9.0
MS,G122,Esclerose Lateral Amiotrofica,Internacao clinica,16,3,10.6,15269.68,12,1.0,16.0
MS,G35,Esclerose Multipla,Tratamento (predominio de dia unico),23,0,5.5,23660.66,12,1.0,23.0
MS,G700,Miastenia Gravis,Internacao clinica,21,1,7.1,31220.66,12,1.0,21.0
MT,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),9,0,0.0,2787.57,12,1.0,9.0
MT,G122,Esclerose Lateral Amiotrofica,Internacao clinica,7,1,3.9,6157.93,12,1.0,7.0
MT,G35,Esclerose Multipla,Tratamento (predominio de dia unico),15,0,8.6,36889.44,12,1.0,15.0
MT,G700,Miastenia Gravis,Internacao clinica,15,2,6.7,26929.07,12,1.0,15.0
PA,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),28,0,24.6,276170.28,12,1.0,28.0
PA,G122,Esclerose Lateral Amiotrofica,Internacao clinica,38,6,18.4,326984.49,12,1.0,38.0
PA,G35,Esclerose Multipla,Tratamento (predominio de dia unico),34,1,8.9,47717.67,12,1.0,34.0
PA,G700,Miastenia Gravis,Internacao clinica,31,2,8.1,41798.15,12,1.0,31.0
PB,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),2,0,0.0,357.0,12,1.0,2.0
PB,G122,Esclerose Lateral Amiotrofica,Internacao clinica,14,1,10.9,44064.53,12,1.0,14.0
PB,G35,Esclerose Multipla,Tratamento (predominio de dia unico),59,0,6.0,79500.02,12,1.0,59.0
PB,G700,Miastenia Gravis,Internacao clinica,19,1,6.7,55924.39,12,1.0,19.0
PE,E851,Polineuropatia Amiloidotica Familiar,Tratamento (predominio de dia unico),15,0,0.0,2091.3,12,1.0,15.0
PE,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),309,0,1.3,367168.78,12,1.0,309.0
PE,G122,Esclerose Lateral Amiotrofica,Internacao clinica,60,3,13.3,82910.8,12,1.0,60.0
PE,G35,Esclerose Multipla,Tratamento (predominio de dia unico),511,0,2.3,111436.62,12,1.0,511.0
PE,G700,Miastenia Gravis,Internacao clinica,55,2,10.0,111789.26,12,1.0,55.0
PI,G120,Atrofia Muscular Espinhal,Tratamento (predominio de dia unico),21,0,17.4,12400.5,11,0.9167,22.9
PI,G122,Esclerose Lateral Amiotrofica,Internacao clinica,7,1,14.3,34107.0,11,0.9167,7.6
