diseaseCode,diseaseName,originMunicipality,originUf,destMunicipality,destUf,travelType,admissions
E851,Polineuropatia Amiloidotica Familiar,260050,PE,261160,PE,"Outro municipio, mesma UF",6
E851,Polineuropatia Amiloidotica Familiar,261160,PE,261160,PE,Mesmo municipio,9
E851,Polineuropatia Amiloidotica Familiar,270430,AL,261160,PE,Outra UF,5
E851,Polineuropatia Amiloidotica Familiar,310670,MG,310620,MG,"Outro municipio, mesma UF",1
E851,Polineuropatia Amiloidotica Familiar,315780,MG,315780,MG,Mesmo municipio,1
E851,Polineuropatia Amiloidotica Familiar,316120,MG,314560,MG,"Outro municipio, mesma UF",1
E851,Polineuropatia Amiloidotica Familiar,330455,RJ,330455,RJ,Mesmo municipio,1
E851,Polineuropatia Amiloidotica Familiar,352470,SP,352470,SP,Mesmo municipio,1
E851,Polineuropatia Amiloidotica Familiar,352900,SP,352900,SP,Mesmo municipio,3
E851,Polineuropatia Amiloidotica Familiar,412720,PR,412720,PR,Mesmo municipio,1
G120,Atrofia Muscular Espinhal,110009,RO,110004,RO,"Outro municipio, mesma UF",3
G120,Atrofia Muscular Espinhal,110020,RO,110020,RO,Mesmo municipio,2
G120,Atrofia Muscular Espinhal,120010,AC,120040,AC,"Outro municipio, mesma UF",2
G120,Atrofia Muscular Espinhal,120040,AC,120040,AC,Mesmo municipio,1
G120,Atrofia Muscular Espinhal,130063,AM,130260,AM,"Outro municipio, mesma UF",3
G120,Atrofia Muscular Espinhal,130130,AM,130260,AM,"Outro municipio, mesma UF",1
G120,Atrofia Muscular Espinhal,130260,AM,130260,AM,Mesmo municipio,19
G120,Atrofia Muscular Espinhal,130290,AM,130260,AM,"Outro municipio, mesma UF",1
G120,Atrofia Muscular Espinhal,130420,AM,130260,AM,"Outro municipio, mesma UF",3
G120,Atrofia Muscular Espinhal,150010,PA,150140,PA,"Outro municipio, mesma UF",4
G120,Atrofia Muscular Espinhal,150140,PA,150140,PA,Mesmo municipio,17
G120,Atrofia Muscular Espinhal,150390,PA,150680,PA,"Outro municipio, mesma UF",7
G120,Atrofia Muscular Espinhal,210260,MA,211130,MA,"Outro municipio, mesma UF",1
G120,Atrofia Muscular Espinhal,210530,MA,210530,MA,Mesmo municipio,1
G120,Atrofia Muscular Espinhal,210550,MA,210530,MA,"Outro municipio, mesma UF",5
G120,Atrofia Muscular Espinhal,220180,PI,221100,PI,"Outro municipio, mesma UF",1
G120,Atrofia Muscular Espinhal,220196,PI,220840,PI,"Outro municipio, mesma UF",1
G120,Atrofia Muscular Espinhal,220350,PI,220350,PI,Mesmo municipio,6
G120,Atrofia Muscular Espinhal,220350,PI,221100,PI,"Outro municipio, mesma UF",1
G120,Atrofia Muscular Espinhal,220557,PI,220840,PI,"Outro municipio, mesma UF",5
